City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,northam,51.0333,-4.2167,7.92,98,100,0.68,GB,2024-2-7
151,qoryooley,1.7878,44.53,27.72,72,81,6.38,SO,2024-2-7
152,las khorey,11.1595,48.1967,25.74,74,4,3.07,SO,2024-2-7
153,kuanda,56.3161,116.0806,-15.7,93,100,0.75,RU,2024-2-7
154,kununurra,-15.7667,128.7333,35.99,52,49,2.06,AU,2024-2-7
155,penaranda de bracamonte,40.9011,-5.2003,6.21,82,42,3.5,ES,2024-2-7
156,hovd,48.0056,91.6419,-17.95,89,42,1.88,MN,2024-2-7
157,sao vicente,-23.9631,-46.3919,26.82,26,100,0.45,BR,2024-2-7
158,troitsko-pechorsk,62.7084,56.1964,-17.39,98,100,1.34,RU,2024-2-7
159,karratha,-20.7377,116.8463,34.25,37,100,5.3,AU,2024-2-7
160,gadzhiyevo,69.2551,33.3362,-23.3,100,97,3.07,RU,2024-2-7
161,awjilah,29.1081,21.2869,10.9,66,0,1.61,LY,2024-2-7
162,nkove,-7.95,30.85,22.63,81,97,2.41,TZ,2024-2-7
163,kamyshin,50.0983,45.416,-7.43,91,51,6.84,RU,2024-2-7
164,bredasdorp,-34.5322,20.0403,19.15,70,1,3.83,ZA,2024-2-7
165,west island,-12.1568,96.8225,29.99,70,19,4.63,CC,2024-2-7
166,zakynthos,37.7914,20.8953,10.36,78,13,1.64,GR,2024-2-7
167,lerwick,60.1545,-1.1494,2.0,55,99,8.41,GB,2024-2-7
168,guarapari,-20.6667,-40.4975,22.72,88,98,1.44,BR,2024-2-7
169,bereket,39.2446,55.5154,7.72,48,86,2.66,TM,2024-2-7
170,horsham,51.064,-0.3272,7.36,95,75,4.63,GB,2024-2-7
171,sanya,18.2431,109.505,27.09,74,75,2.0,CN,2024-2-7
172,papatowai,-46.5619,169.4708,15.84,60,11,4.0,NZ,2024-2-7
173,st. thomas,42.7736,-81.1804,-0.69,73,81,2.12,CA,2024-2-7
174,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,76,75,1.79,RU,2024-2-7
175,acarau,-2.8856,-40.12,26.84,84,22,6.0,BR,2024-2-7
176,merrill,45.1805,-89.6835,3.78,77,0,0.0,US,2024-2-7
177,port augusta,-32.5,137.7667,27.55,26,0,8.07,AU,2024-2-7
178,new norfolk,-42.7826,147.0587,20.51,27,24,2.15,AU,2024-2-7
179,tuszyn,51.6095,19.5301,8.75,84,75,9.77,PL,2024-2-7
180,bamboo flat,11.7,92.7167,28.92,58,55,5.98,IN,2024-2-7
181,hami,42.8,93.45,-0.31,42,5,1.09,CN,2024-2-7
182,hithadhoo,-0.6,73.0833,28.43,74,43,3.09,MV,2024-2-7
183,tazacorte,28.629,-17.9293,17.86,30,0,4.02,ES,2024-2-7
184,geraldton,-28.7667,114.6,38.23,10,0,4.12,AU,2024-2-7
185,ingeniero jacobacci,-41.3427,-69.5448,15.4,64,76,11.15,AR,2024-2-7
186,lazaro cardenas,17.9583,-102.2,24.91,76,25,0.69,MX,2024-2-7
187,ainaro,-8.9924,125.5082,25.94,71,96,2.24,TL,2024-2-7
188,corner brook,48.9667,-57.9484,-3.91,98,52,0.68,CA,2024-2-7
189,nirgua,10.1553,-68.5663,20.58,91,98,0.78,VE,2024-2-7
190,al kharijah,25.4514,30.5464,10.35,68,2,3.27,EG,2024-2-7
191,stephenville,32.2207,-98.2023,13.44,57,0,3.09,US,2024-2-7
192,hartley,38.4171,-121.9469,10.9,87,0,2.06,US,2024-2-7
193,penzance,50.1186,-5.5371,11.38,97,100,5.32,GB,2024-2-7
194,tolanaro,-25.0319,46.9987,25.23,85,14,2.69,MG,2024-2-7
195,viedma,-40.8135,-62.9967,26.35,66,15,4.71,AR,2024-2-7
196,keflavik,64.0049,-22.5624,-1.05,86,75,9.26,IS,2024-2-7
197,port blair,11.6667,92.75,28.8,58,51,6.31,IN,2024-2-7
198,garachico,28.7781,-17.7646,16.38,36,0,3.6,ES,2024-2-7
199,mahina,-17.5065,-149.489,28.87,84,75,7.2,PF,2024-2-7
200,mawu,29.5923,107.3139,6.22,77,99,0.99,CN,2024-2-7
201,elliot lake,46.3834,-82.6331,-1.61,96,100,1.52,CA,2024-2-7
202,ulladulla,-35.35,150.4667,20.14,65,78,4.6,AU,2024-2-7
203,crucecita,-28.95,-58.9833,27.03,59,9,3.49,AR,2024-2-7
204,akrehamn,59.2667,5.1833,0.14,86,75,7.72,NO,2024-2-7
205,madang,-5.2246,145.7966,29.01,80,96,2.51,PG,2024-2-7
206,guatrache,-37.6678,-63.5302,24.68,75,84,0.34,AR,2024-2-7
207,deir ez-zor,35.3359,40.1408,10.62,81,0,3.41,SY,2024-2-7
208,la sarre,48.8002,-79.1996,-0.44,96,100,2.72,CA,2024-2-7
209,palenque,17.5167,-91.9667,16.78,89,86,1.38,MX,2024-2-7
